Team Name,PLAYER
"""THE CAROLINA KID""",Collin Morikawa
"""THE CAROLINA KID""",Tom Hoge
"""THE CAROLINA KID""",Mito Pereira
"""THE CAROLINA KID""",Max Homa
"""THE CAROLINA KID""",Seamus Power
"""THE CAROLINA KID""",Scottie Scheffler
"""THE CAROLINA KID""",Sepp Straka
7,Aaron Wise
7,Max Homa
7,Scottie Scheffler
7,Sam Burns
7,Xander Schauffele
7,Davis Riley
7,Joaquin Niemann
5NET4,Justin Rose
5NET4,Justin Thomas
5NET4,Jon Rahm
5NET4,Cameron Smith
5NET4,Will Zalatoris
5NET4,Aaron Wise
5NET4,Rory McIlroy
ADAM'S RIB,Adam Hadwin
ADAM'S RIB,Xander Schauffele
ADAM'S RIB,Viktor Hovland
ADAM'S RIB,Patrick Cantlay
ADAM'S RIB,Tommy Fleetwood
ADAM'S RIB,Dustin Johnson
ADAM'S RIB,Collin Morikawa
ALBATROSS,Scottie Scheffler
ALBATROSS,Justin Rose
ALBATROSS,Cameron Young
ALBATROSS,Jon Rahm
ALBATROSS,Hideki Matsuyama
ALBATROSS,Mito Pereira
ALBATROSS,Rory McIlroy
ANDRE LACROIX,Kurt Kitayama
ANDRE LACROIX,Stewart Cink
ANDRE LACROIX,Tony Finau
ANDRE LACROIX,Justin Thomas
ANDRE LACROIX,Viktor Hovland
ANDRE LACROIX,Cameron Smith
ANDRE LACROIX,Tommy Fleetwood
ANGEHADDILLYDEW,Jordan Spieth
ANGEHADDILLYDEW,Jon Rahm
ANGEHADDILLYDEW,Xander Schauffele
ANGEHADDILLYDEW,Daniel Berger
ANGEHADDILLYDEW,Justin Thomas
ANGEHADDILLYDEW,Rory McIlroy
ANGEHADDILLYDEW,Shane Lowry
ANNIE067,Jon Rahm
ANNIE067,Sam Burns
ANNIE067,Viktor Hovland
ANNIE067,Rory McIlroy
ANNIE067,Jordan Spieth
ANNIE067,Corey Conners
ANNIE067,Justin Thomas
BAKINI WAX WATSON,Will Zalatoris
BAKINI WAX WATSON,Mito Pereira
BAKINI WAX WATSON,Patrick Cantlay
BAKINI WAX WATSON,Scottie Scheffler
BAKINI WAX WATSON,Tony Finau
BAKINI WAX WATSON,Sungjae Im
BAKINI WAX WATSON,Davis Riley
BARBADOSBILLY,Viktor Hovland
BARBADOSBILLY,Rory McIlroy
BARBADOSBILLY,Collin Morikawa
BARBADOSBILLY,Justin Thomas
BARBADOSBILLY,Cameron Smith
BARBADOSBILLY,Sam Burns
BARBADOSBILLY,Scottie Scheffler
BEN D,Jordan Spieth
BEN D,Cameron Smith
BEN D,Rory McIlroy
BEN D,Jon Rahm
BEN D,Corey Conners
BEN D,Sungjae Im
BEN D,Tony Finau
BENNY C 1,Sam Burns
BENNY C 1,Scottie Scheffler
BENNY C 1,Brian Harman
BENNY C 1,Rory McIlroy
BENNY C 1,Justin Thomas
BENNY C 1,Cameron Young
BENNY C 1,Talor Gooch
BENNY C 2,Rory McIlroy
BENNY C 2,Max Homa
BENNY C 2,Justin Thomas
BENNY C 2,Collin Morikawa
BENNY C 2,Tom Hoge
BENNY C 2,Scottie Scheffler
BENNY C 2,Sam Burns
BIG STEVIE,Will Zalatoris
BIG STEVIE,Hideki Matsuyama
BIG STEVIE,Jon Rahm
BIG STEVIE,Justin Thomas
BIG STEVIE,Scottie Scheffler
BIG STEVIE,Rory McIlroy
BIG STEVIE,Jordan Spieth
BO KNOWS GOLF,Max Homa
BO KNOWS GOLF,Justin Rose
BO KNOWS GOLF,Will Zalatoris
BO KNOWS GOLF,Jon Rahm
BO KNOWS GOLF,Tony Finau
BO KNOWS GOLF,Justin Thomas
BO KNOWS GOLF,Rory McIlroy
BOB BULL,Collin Morikawa
BOB BULL,Justin Thomas
BOB BULL,Viktor Hovland
BOB BULL,Jordan Spieth
BOB BULL,Rory McIlroy
BOB BULL,Scottie Scheffler
BOB BULL,Brooks Koepka
BOKNOWS 1,Xander Schauffele
BOKNOWS 1,Justin Thomas
